Subject_ID,Age,Handedness,languageCount,musicInstrument,musicPractice,musicTraining,Trial Number,Target Angle,Hand Angle,RT,MT,Hand_Path
164800,19,righth,3+,yes,0,"""0-1""",1,45,46.27303002,1663,1982,"{""sample_4_y"": 272, ""sample_2_time"": 890, ""sample_1_y"": 461, ""sample_3_x"": 1068, ""sample_3_y"": 335, ""first_y"": 503, ""last_y"": 272, ""first_x"": 919, ""sample_0_x"": 919, ""first_time"": 8, ""sample_2_x"": 1011, ""sample_2_y"": 381, ""count"": 208, ""last_time"": 1982, ""sample_4_x"": 1120, ""sample_1_time"": 440, ""sample_1_x"": 957, ""sample_4_time"": 1982, ""sample_0_time"": 8, ""last_x"": 1120, ""sample_0_y"": 503, ""sample_3_time"": 1340}"
164800,19,righth,3+,yes,0,"""0-1""",2,135,136.143223,790,1669,"{""count"": 153, ""sample_4_x"": 670, ""last_y"": 281, ""sample_1_time"": 324, ""sample_0_x"": 892, ""sample_1_x"": 817, ""last_time"": 1669, ""first_y"": 483, ""sample_4_y"": 281, ""sample_3_time"": 1332, ""sample_0_time"": 8, ""sample_0_y"": 483, ""sample_3_x"": 698, ""sample_1_y"": 427, ""sample_4_time"": 1669, ""sample_2_x"": 736, ""sample_2_time"": 1016, ""sample_3_y"": 319, ""first_x"": 892, ""first_time"": 8, ""last_x"": 670, ""sample_2_y"": 348}"
164800,19,righth,3+,yes,0,"""0-1""",3,225,224.1107799,934,946,"{""sample_3_x"": 689, ""first_time"": 10, ""sample_0_time"": 10, ""sample_1_time"": 235, ""sample_2_y"": 666, ""sample_2_time"": 481, ""sample_1_x"": 825, ""sample_3_y"": 711, ""sample_4_time"": 946, ""last_time"": 946, ""sample_4_x"": 671, ""count"": 108, ""first_y"": 523, ""last_x"": 671, ""sample_0_y"": 523, ""sample_3_time"": 706, ""sample_0_x"": 892, ""last_y"": 724, ""sample_4_y"": 724, ""first_x"": 892, ""sample_1_y"": 588, ""sample_2_x"": 736}"
164800,19,righth,3+,yes,0,"""0-1""",4,315,318.9495656,599,329,"{""sample_3_y"": 694, ""sample_0_y"": 518, ""sample_4_x"": 1140, ""sample_2_x"": 1154, ""sample_3_x"": 1151, ""first_time"": 8, ""last_time"": 329, ""sample_2_time"": 179, ""sample_0_time"": 8, ""sample_1_time"": 79, ""sample_0_x"": 937, ""count"": 38, ""sample_1_y"": 653, ""sample_4_y"": 711, ""sample_2_y"": 684, ""last_x"": 1140, ""sample_4_time"": 329, ""first_x"": 937, ""sample_3_time"": 253, ""last_y"": 711, ""sample_1_x"": 1119, ""first_y"": 518}"
164800,19,righth,3+,yes,0,"""0-1""",5,45,45.12704143,792,2019,"{""sample_0_time"": 8, ""first_y"": 495, ""first_x"": 919, ""count"": 198, ""last_time"": 2019, ""sample_2_time"": 1156, ""sample_4_time"": 2019, ""sample_0_y"": 495, ""last_x"": 1125, ""last_y"": 276, ""sample_0_x"": 919, ""sample_1_time"": 432, ""first_time"": 8, ""sample_1_x"": 954, ""sample_4_y"": 276, ""sample_4_x"": 1125, ""sample_3_y"": 308, ""sample_3_time"": 1581, ""sample_1_y"": 466, ""sample_3_x"": 1097, ""sample_2_y"": 367, ""sample_2_x"": 1040}"
164800,19,righth,3+,yes,0,"""0-1""",6,135,135.3811193,646,1987,"{""sample_4_x"": 673, ""sample_1_time"": 340, ""last_time"": 1987, ""sample_1_x"": 835, ""sample_4_y"": 278, ""count"": 162, ""sample_2_y"": 378, ""last_x"": 673, ""sample_1_y"": 446, ""first_y"": 489, ""sample_0_y"": 489, ""sample_3_y"": 310, ""last_y"": 278, ""sample_0_time"": 8, ""sample_0_x"": 884, ""first_time"": 8, ""sample_3_time"": 1182, ""sample_2_x"": 767, ""sample_4_time"": 1987, ""sample_2_time"": 699, ""first_x"": 884, ""sample_3_x"": 692}"
164800,19,righth,3+,yes,0,"""0-1""",7,225,225.5092824,767,1850,"{""first_x"": 889, ""last_x"": 677, ""sample_4_time"": 1850, ""sample_0_time"": 3, ""sample_2_x"": 734, ""sample_1_x"": 828, ""last_y"": 729, ""count"": 204, ""sample_3_x"": 707, ""sample_2_y"": 666, ""sample_0_x"": 889, ""sample_3_time"": 1417, ""sample_0_y"": 520, ""first_y"": 520, ""sample_4_y"": 729, ""last_time"": 1850, ""sample_1_time"": 428, ""sample_4_x"": 677, ""sample_2_time"": 880, ""first_time"": 3, ""sample_1_y"": 585, ""sample_3_y"": 701}"
164800,19,righth,3+,yes,0,"""0-1""",8,315,317.4123647,1001,1305,"{""sample_4_y"": 718, ""sample_1_x"": 961, ""last_x"": 1135, ""last_y"": 718, ""sample_1_y"": 566, ""sample_2_time"": 530, ""first_time"": 8, ""first_x"": 918, ""sample_2_y"": 621, ""sample_0_y"": 518, ""sample_0_x"": 918, ""count"": 123, ""sample_4_time"": 1305, ""sample_0_time"": 8, ""sample_3_time"": 1030, ""sample_3_x"": 1106, ""sample_2_x"": 1023, ""last_time"": 1305, ""sample_3_y"": 681, ""sample_4_x"": 1135, ""sample_1_time"": 271, ""first_y"": 518}"
164800,19,righth,3+,yes,0,"""0-1""",9,45,43.98151565,610,1255,"{""count"": 118, ""sample_3_time"": 1001, ""sample_2_y"": 382, ""first_y"": 479, ""last_x"": 1129, ""last_y"": 281, ""sample_1_time"": 251, ""last_time"": 1255, ""sample_4_time"": 1255, ""sample_0_y"": 479, ""first_x"": 918, ""sample_1_x"": 958, ""sample_4_x"": 1129, ""sample_0_x"": 918, ""sample_0_time"": 5, ""sample_4_y"": 281, ""sample_3_x"": 1108, ""sample_2_x"": 1007, ""sample_3_y"": 301, ""sample_2_time"": 501, ""first_time"": 5, ""sample_1_y"": 434}"
164800,19,righth,3+,yes,0,"""0-1""",10,135,135.5092824,429,1005,"{""sample_3_y"": 285, ""sample_1_time"": 465, ""count"": 78, ""first_y"": 470, ""last_time"": 1005, ""last_x"": 673, ""sample_4_x"": 673, ""sample_0_time"": 9, ""sample_2_x"": 709, ""sample_4_time"": 1005, ""last_y"": 279, ""first_x"": 861, ""sample_0_x"": 861, ""sample_3_x"": 681, ""sample_2_y"": 311, ""first_time"": 9, ""sample_0_y"": 470, ""sample_1_x"": 746, ""sample_1_y"": 342, ""sample_3_time"": 815, ""sample_2_time"": 632, ""sample_4_y"": 279}"
164800,19,righth,3+,yes,0,"""0-1""",11,225,226.0184843,415,633,"{""sample_4_y"": 731, ""first_x"": 879, ""sample_2_time"": 332, ""last_y"": 731, ""sample_3_time"": 483, ""sample_2_y"": 675, ""sample_1_time"": 158, ""last_time"": 633, ""sample_0_y"": 511, ""count"": 72, ""sample_3_x"": 689, ""sample_2_x"": 724, ""sample_3_y"": 723, ""first_y"": 511, ""last_x"": 679, ""sample_0_x"": 879, ""sample_4_x"": 679, ""sample_1_x"": 769, ""sample_4_time"": 633, ""sample_1_y"": 617, ""sample_0_time"": 8, ""first_time"": 8}"
164800,19,righth,3+,yes,0,"""0-1""",12,315,315.8892201,487,1492,"{""first_x"": 913, ""sample_4_time"": 1492, ""count"": 134, ""sample_1_x"": 985, ""last_time"": 1492, ""sample_2_y"": 653, ""sample_3_time"": 1217, ""last_y"": 724, ""sample_0_x"": 913, ""sample_4_y"": 724, ""sample_0_time"": 9, ""first_y"": 520, ""sample_4_x"": 1129, ""sample_0_y"": 520, ""sample_3_x"": 1100, ""sample_3_y"": 695, ""sample_2_x"": 1054, ""first_time"": 9, ""sample_1_time"": 300, ""sample_2_time"": 917, ""last_x"": 1129, ""sample_1_y"": 593}"
164800,19,righth,3+,yes,0,"""0-1""",13,45,40.67919505,565,1555,"{""sample_1_y"": 470, ""last_y"": 294, ""last_x"": 1142, ""sample_1_time"": 250, ""sample_2_y"": 422, ""sample_2_time"": 511, ""sample_3_y"": 385, ""sample_4_y"": 294, ""sample_1_x"": 937, ""sample_0_x"": 916, ""sample_3_x"": 1043, ""first_x"": 916, ""sample_2_x"": 1004, ""sample_4_x"": 1142, ""first_time"": 8, ""first_y"": 488, ""sample_3_time"": 754, ""sample_0_y"": 488, ""sample_4_time"": 1555, ""last_time"": 1555, ""count"": 116, ""sample_0_time"": 8}"
164800,19,righth,3+,yes,0,"""0-1""",14,135,135.5092824,457,1404,"{""sample_4_x"": 673, ""sample_2_time"": 845, ""sample_0_time"": 8, ""sample_3_time"": 1137, ""sample_0_x"": 890, ""first_y"": 481, ""sample_0_y"": 481, ""first_x"": 890, ""last_y"": 279, ""last_time"": 1404, ""sample_1_x"": 814, ""sample_3_y"": 294, ""first_time"": 8, ""sample_3_x"": 693, ""count"": 131, ""sample_4_time"": 1404, ""sample_2_x"": 725, ""sample_1_y"": 418, ""last_x"": 673, ""sample_4_y"": 279, ""sample_2_y"": 328, ""sample_1_time"": 274}"
164800,19,righth,3+,yes,0,"""0-1""",15,225,226.0184843,464,1222,"{""sample_4_y"": 731, ""last_y"": 731, ""first_x"": 882, ""sample_2_x"": 762, ""sample_3_time"": 1030, ""sample_0_time"": 9, ""sample_4_x"": 679, ""count"": 93, ""last_x"": 679, ""sample_1_x"": 829, ""sample_4_time"": 1222, ""last_time"": 1222, ""sample_0_x"": 882, ""sample_3_x"": 696, ""sample_2_y"": 658, ""sample_2_time"": 463, ""first_y"": 523, ""sample_1_time"": 246, ""sample_0_y"": 523, ""first_time"": 9, ""sample_3_y"": 714, ""sample_1_y"": 580}"
164800,19,righth,3+,yes,0,"""0-1""",16,315,315.7605188,573,1138,"{""count"": 100, ""last_y"": 725, ""sample_2_x"": 1056, ""sample_2_time"": 695, ""sample_3_y"": 712, ""last_x"": 1129, ""sample_2_y"": 659, ""sample_0_y"": 524, ""sample_1_time"": 234, ""sample_4_x"": 1129, ""sample_1_x"": 960, ""last_time"": 1138, ""sample_0_x"": 911, ""sample_4_y"": 725, ""first_y"": 524, ""first_time"": 9, ""first_x"": 911, ""sample_4_time"": 1138, ""sample_3_time"": 904, ""sample_3_x"": 1114, ""sample_1_y"": 590, ""sample_0_time"": 9}"
164800,19,righth,3+,yes,0,"""0-1""",17,45,43.21803941,641,1249,"{""last_x"": 1132, ""sample_2_y"": 360, ""sample_3_time"": 1007, ""sample_0_x"": 918, ""sample_2_time"": 774, ""sample_4_x"": 1132, ""sample_0_time"": 7, ""sample_1_x"": 974, ""first_y"": 489, ""sample_3_x"": 1116, ""sample_2_x"": 1062, ""last_time"": 1249, ""sample_1_y"": 435, ""sample_3_y"": 304, ""sample_4_y"": 284, ""first_time"": 7, ""sample_0_y"": 489, ""sample_4_time"": 1249, ""first_x"": 918, ""count"": 111, ""last_y"": 284, ""sample_1_time"": 249}"
164800,19,righth,3+,yes,0,"""0-1""",18,135,135.7638985,457,1096,"{""last_y"": 280, ""first_time"": 7, ""sample_4_x"": 672, ""sample_0_time"": 7, ""first_y"": 480, ""sample_1_y"": 433, ""sample_3_y"": 306, ""sample_4_time"": 1095, ""sample_3_time"": 895, ""sample_0_x"": 890, ""sample_2_y"": 362, ""last_time"": 1095, ""sample_0_y"": 480, ""sample_4_y"": 280, ""sample_2_x"": 746, ""sample_3_x"": 692, ""count"": 97, ""last_x"": 672, ""first_x"": 890, ""sample_1_x"": 825, ""sample_2_time"": 699, ""sample_1_time"": 237}"
164800,19,righth,3+,yes,0,"""0-1""",19,225,225.2535195,507,1129,"{""sample_3_x"": 711, ""first_time"": 9, ""sample_1_y"": 566, ""sample_0_time"": 9, ""sample_4_time"": 1129, ""sample_1_x"": 847, ""sample_0_x"": 883, ""last_time"": 1129, ""sample_0_y"": 518, ""sample_4_y"": 729, ""sample_2_x"": 762, ""first_x"": 883, ""last_y"": 729, ""sample_2_y"": 638, ""sample_3_y"": 700, ""sample_4_x"": 675, ""first_y"": 518, ""sample_3_time"": 928, ""count"": 99, ""last_x"": 675, ""sample_2_time"": 428, ""sample_1_time"": 225}"
164800,19,righth,3+,yes,0,"""0-1""",20,315,314.3648178,150,1170,"{""sample_2_y"": 677, ""sample_1_x"": 946, ""count"": 134, ""first_x"": 888, ""last_y"": 730, ""last_x"": 1123, ""sample_3_x"": 1084, ""sample_1_y"": 590, ""sample_0_x"": 888, ""sample_3_time"": 878, ""sample_4_time"": 1170, ""sample_0_y"": 520, ""sample_2_x"": 1042, ""last_time"": 1170, ""first_time"": 7, ""first_y"": 520, ""sample_2_time"": 582, ""sample_4_x"": 1123, ""sample_4_y"": 730, ""sample_1_time"": 299, ""sample_0_time"": 7, ""sample_3_y"": 704}"
164800,19,righth,3+,yes,0,"""0-1""",21,225,313.856777,3082,800,"{""first_y"": 518, ""first_x"": 915, ""sample_1_y"": 575, ""sample_0_y"": 518, ""sample_2_x"": 1026, ""sample_0_time"": 7, ""sample_4_x"": 1121, ""sample_3_x"": 1068, ""last_time"": 799, ""sample_3_y"": 672, ""first_time"": 7, ""sample_2_y"": 633, ""sample_1_x"": 964, ""last_y"": 732, ""last_x"": 1121, ""sample_1_time"": 199, ""sample_4_y"": 732, ""sample_3_time"": 608, ""count"": 94, ""sample_0_x"": 915, ""sample_2_time"": 424, ""sample_4_time"": 799}"
164800,19,righth,3+,yes,0,"""0-1""",22,225,222.4551956,149,883,"{""first_time"": 8, ""sample_2_y"": 613, ""count"": 99, ""first_y"": 512, ""sample_0_y"": 512, ""last_x"": 665, ""sample_4_time"": 883, ""sample_0_x"": 878, ""sample_1_time"": 233, ""sample_2_time"": 441, ""sample_0_time"": 8, ""sample_1_y"": 562, ""last_time"": 883, ""last_y"": 717, ""sample_4_y"": 717, ""sample_3_y"": 678, ""sample_1_x"": 831, ""sample_2_x"": 769, ""sample_3_time"": 650, ""first_x"": 878, ""sample_3_x"": 697, ""sample_4_x"": 665}"
164800,19,righth,3+,yes,0,"""0-1""",23,315,313.72697,2560,710,"{""first_y"": 519, ""last_y"": 732, ""sample_4_y"": 732, ""count"": 80, ""sample_2_time"": 360, ""sample_4_time"": 710, ""sample_0_x"": 916, ""sample_3_time"": 526, ""sample_1_x"": 956, ""sample_4_x"": 1120, ""sample_0_time"": 5, ""sample_3_x"": 1077, ""last_time"": 710, ""first_time"": 5, ""sample_2_x"": 1005, ""sample_2_y"": 642, ""first_x"": 916, ""last_x"": 1120, ""sample_1_time"": 190, ""sample_3_y"": 700, ""sample_1_y"": 575, ""sample_0_y"": 519}"
164800,19,righth,3+,yes,0,"""0-1""",24,45,131.0504344,2605,692,"{""last_x"": 691, ""sample_1_y"": 439, ""sample_1_time"": 183, ""sample_0_y"": 481, ""sample_1_x"": 852, ""sample_2_time"": 350, ""sample_4_y"": 262, ""first_y"": 481, ""sample_4_x"": 691, ""count"": 79, ""first_x"": 889, ""sample_0_time"": 8, ""sample_2_y"": 403, ""first_time"": 8, ""sample_3_time"": 515, ""sample_4_time"": 691, ""sample_3_x"": 727, ""sample_3_y"": 331, ""last_y"": 262, ""sample_2_x"": 804, ""sample_0_x"": 889, ""last_time"": 691}"
164800,19,righth,3+,yes,0,"""0-1""",25,225,311.2027521,2260,1195,"{""sample_1_time"": 299, ""sample_0_x"": 917, ""first_x"": 917, ""sample_4_time"": 1195, ""count"": 140, ""last_y"": 743, ""sample_3_y"": 700, ""sample_3_time"": 899, ""sample_1_y"": 595, ""sample_0_y"": 512, ""sample_2_time"": 607, ""sample_0_time"": 7, ""sample_3_x"": 1069, ""last_time"": 1195, ""first_time"": 7, ""sample_4_y"": 743, ""sample_1_x"": 976, ""sample_2_x"": 1025, ""sample_2_y"": 655, ""last_x"": 1111, ""first_y"": 512, ""sample_4_x"": 1111}"
164800,19,righth,3+,yes,0,"""0-1""",26,315,311.3045147,4277,1281,"{""sample_3_y"": 703, ""sample_0_x"": 921, ""sample_4_time"": 1281, ""sample_1_x"": 971, ""sample_2_x"": 1029, ""sample_0_y"": 519, ""last_y"": 741, ""sample_4_y"": 741, ""last_time"": 1281, ""sample_2_y"": 654, ""count"": 131, ""first_time"": 8, ""sample_4_x"": 1110, ""sample_2_time"": 550, ""sample_1_y"": 578, ""sample_3_time"": 842, ""first_y"": 519, ""sample_0_time"": 8, ""first_x"": 921, ""sample_3_x"": 1083, ""sample_1_time"": 275, ""last_x"": 1110}"
