"Subject_ID","Age","Handedness","languageCount","musicInstrument","musicPractice","musicTraining","Trial Number","Target Angle","Hand Angle","RT","MT","Hand_Path","target_quadrant","hand_quadrant","formant_correct","frequency_correct","error_type","intended_target_angle","raw_error_from_wrong","angle_error_from_wrong","raw_error","angle_error","correct_target","musicTraining_raw","musicPractice_raw","languageCount_raw","handedness_raw","musicTraining_group","musicPractice_group","languageCount_group","handedness_group"
164800,19,"righth","3+","yes",0,"""0-1""",21,225,313.856777,3082,800,"{""first_y"": 518, ""first_x"": 915, ""sample_1_y"": 575, ""sample_0_y"": 518, ""sample_2_x"": 1026, ""sample_0_time"": 7, ""sample_4_x"": 1121, ""sample_3_x"": 1068, ""last_time"": 799, ""sample_3_y"": 672, ""first_time"": 7, ""sample_2_y"": 633, ""sample_1_x"": 964, ""last_y"": 732, ""last_x"": 1121, ""sample_1_time"": 199, ""sample_4_y"": 732, ""sample_3_time"": 608, ""count"": 94, ""sample_0_x"": 915, ""sample_2_time"": 424, ""sample_4_time"": 799}","Q3 (180-270<U+00B0>)","Q4 (270-360<U+00B0>)",FALSE,TRUE,"Formant",315,1.14322299999998,1.14322299999998,88.856777,88.856777,FALSE,"0-1","0","3+","righth","0-1 yrs","No Weekly Practice","Multilingual","righth"
164887,20,"righth","1","yes",5,"""5-10""",21,225,221.6335393,2819,1617,"{""first_y"": 265, ""first_x"": 551, ""sample_1_y"": 270, ""sample_0_y"": 265, ""sample_2_x"": 468, ""sample_0_time"": 16, ""sample_4_x"": 438, ""sample_3_x"": 447, ""last_time"": 1617, ""sample_3_y"": 346, ""first_time"": 16, ""sample_2_y"": 309, ""sample_1_x"": 504, ""last_y"": 378, ""last_x"": 438, ""sample_1_time"": 352, ""sample_4_y"": 378, ""sample_3_time"": 1300, ""count"": 80, ""sample_0_x"": 551, ""sample_2_time"": 967, ""sample_4_time"": 1617}","Q3 (180-270<U+00B0>)","Q3 (180-270<U+00B0>)",TRUE,TRUE,"Correct",225,3.3664607,3.3664607,3.3664607,3.3664607,TRUE,"5-10","5","1","righth","5-10 yrs","Weekly Practice 5-9 hrs","Monolingual","righth"
164914,19,"righth","2","yes",0,"""5-10""",21,225,135.3969621,2728,753,"{""first_y"": 407, ""first_x"": 417, ""sample_1_y"": 332, ""sample_0_y"": 407, ""sample_2_x"": 311, ""sample_0_time"": 20, ""sample_4_x"": 261, ""sample_3_x"": 277, ""last_time"": 753, ""sample_3_y"": 273, ""first_time"": 20, ""sample_2_y"": 304, ""sample_1_x"": 339, ""last_y"": 258, ""last_x"": 261, ""sample_1_time"": 134, ""sample_4_y"": 258, ""sample_3_time"": 384, ""count"": 30, ""sample_0_x"": 417, ""sample_2_time"": 267, ""sample_4_time"": 753}","Q3 (180-270<U+00B0>)","Q2 (90-180<U+00B0>)",TRUE,FALSE,"Frequency",135,0.396962099999996,0.396962099999996,89.6030379,89.6030379,FALSE,"5-10","0","2","righth","5-10 yrs","No Weekly Practice","Bilingual","righth"
164965,19,"righth","2","yes",5,"""10+""",21,315,223.6852457,3158,1266,"{""first_y"": 341, ""first_x"": 627, ""sample_1_y"": 364, ""sample_0_y"": 341, ""sample_2_x"": 562, ""sample_0_time"": 18, ""sample_4_x"": 484, ""sample_3_x"": 526, ""last_time"": 1266, ""sample_3_y"": 450, ""first_time"": 18, ""sample_2_y"": 415, ""sample_1_x"": 605, ""last_y"": 488, ""last_x"": 484, ""sample_1_time"": 383, ""sample_4_y"": 488, ""sample_3_time"": 1000, ""count"": 68, ""sample_0_x"": 627, ""sample_2_time"": 716, ""sample_4_time"": 1266}","Q4 (270-360<U+00B0>)","Q3 (180-270<U+00B0>)",FALSE,TRUE,"Formant",225,1.3147543,1.3147543,91.3147543,91.3147543,FALSE,"10+","5","2","righth","10+ yrs","Weekly Practice 5-9 hrs","Bilingual","righth"
165037,18,"righth","1","yes",2,"""10+""",21,315,314.1048263,3612,2200,"{""first_y"": 442.5, ""first_x"": 764, ""sample_1_y"": 466.5, ""sample_0_y"": 442.5, ""sample_2_x"": 822, ""sample_0_time"": 8, ""sample_4_x"": 945, ""sample_3_x"": 887, ""last_time"": 2200, ""sample_3_y"": 572.5, ""first_time"": 8, ""sample_2_y"": 513.5, ""sample_1_x"": 790, ""last_y"": 623.5, ""last_x"": 945, ""sample_1_time"": 558, ""sample_4_y"": 623.5, ""sample_3_time"": 1659, ""count"": 264, ""sample_0_x"": 764, ""sample_2_time"": 1109, ""sample_4_time"": 2200}","Q4 (270-360<U+00B0>)","Q4 (270-360<U+00B0>)",TRUE,TRUE,"Correct",315,0.895173699999987,0.895173699999987,0.895173699999987,0.895173699999987,TRUE,"10+","2","1","righth","10+ yrs","Weekly Practice 1-4 hrs","Monolingual","righth"
165127,19,"righth","2","yes",4,"""10+""",21,225,226.914951,3665,516,"{""first_y"": 378.5, ""first_x"": 718, ""sample_1_y"": 445.5, ""sample_0_y"": 378.5, ""sample_2_x"": 614, ""sample_0_time"": 16, ""sample_4_x"": 576, ""sample_3_x"": 596, ""last_time"": 516, ""sample_3_y"": 514.5, ""first_time"": 16, ""sample_2_y"": 489.5, ""sample_1_x"": 661, ""last_y"": 535.5, ""last_x"": 576, ""sample_1_time"": 133, ""sample_4_y"": 535.5, ""sample_3_time"": 399, ""count"": 31, ""sample_0_x"": 718, ""sample_2_time"": 266, ""sample_4_time"": 516}","Q3 (180-270<U+00B0>)","Q3 (180-270<U+00B0>)",TRUE,TRUE,"Correct",225,1.914951,1.914951,1.914951,1.914951,TRUE,"10+","4","2","righth","10+ yrs","Weekly Practice 1-4 hrs","Bilingual","righth"
165166,18,"righth","3+","yes",3,"""10+""",21,225,224.8258492,1780,600,"{""first_y"": 387.5, ""first_x"": 710.5, ""sample_1_y"": 451.5, ""sample_0_y"": 387.5, ""sample_2_x"": 609.5, ""sample_0_time"": 8, ""sample_4_x"": 554.5, ""sample_3_x"": 574.5, ""last_time"": 600, ""sample_3_y"": 514.5, ""first_time"": 8, ""sample_2_y"": 490.5, ""sample_1_x"": 649.5, ""last_y"": 529.5, ""last_x"": 554.5, ""sample_1_time"": 150, ""sample_4_y"": 529.5, ""sample_3_time"": 450, ""count"": 71, ""sample_0_x"": 710.5, ""sample_2_time"": 300, ""sample_4_time"": 600}","Q3 (180-270<U+00B0>)","Q3 (180-270<U+00B0>)",TRUE,TRUE,"Correct",225,0.174150800000007,0.174150800000007,0.174150800000007,0.174150800000007,TRUE,"10+","3","3+","righth","10+ yrs","Weekly Practice 1-4 hrs","Multilingual","righth"
165214,22,"righth","2","yes",5,"""1-5""",21,315,224.2411599,2632,700,"{""first_y"": 349.5, ""first_x"": 696, ""sample_1_y"": 404.5, ""sample_0_y"": 349.5, ""sample_2_x"": 610, ""sample_0_time"": 16, ""sample_4_x"": 567, ""sample_3_x"": 575, ""last_time"": 700, ""sample_3_y"": 473.5, ""first_time"": 16, ""sample_2_y"": 434.5, ""sample_1_x"": 639, ""last_y"": 485.5, ""last_x"": 567, ""sample_1_time"": 183, ""sample_4_y"": 485.5, ""sample_3_time"": 533, ""count"": 42, ""sample_0_x"": 696, ""sample_2_time"": 367, ""sample_4_time"": 700}","Q4 (270-360<U+00B0>)","Q3 (180-270<U+00B0>)",FALSE,TRUE,"Formant",225,0.758840099999986,0.758840099999986,90.7588401,90.7588401,FALSE,"1-5","5","2","righth","1-5 yrs","Weekly Practice 5-9 hrs","Bilingual","righth"
165232,18,"lefth","3+","yes",15,"""10+""",21,315,316.3093898,1741,917,"{""first_y"": 403.5, ""first_x"": 769, ""sample_1_y"": 448.5, ""sample_0_y"": 403.5, ""sample_2_x"": 888, ""sample_0_time"": 17, ""sample_4_x"": 935, ""sample_3_x"": 911, ""last_time"": 916, ""sample_3_y"": 537.5, ""first_time"": 17, ""sample_2_y"": 508.5, ""sample_1_x"": 829, ""last_y"": 560.5, ""last_x"": 935, ""sample_1_time"": 267, ""sample_4_y"": 560.5, ""sample_3_time"": 701, ""count"": 105, ""sample_0_x"": 769, ""sample_2_time"": 483, ""sample_4_time"": 916}","Q4 (270-360<U+00B0>)","Q4 (270-360<U+00B0>)",TRUE,TRUE,"Correct",315,1.30938980000002,1.30938980000002,1.30938980000002,1.30938980000002,TRUE,"10+","15","3+","lefth","10+ yrs","Weekly Practice 10+ hrs","Multilingual","lefth"
165487,21,"righth","2","yes",1,"""5-10""",21,315,226.4857246,2806,1143,"{""first_y"": 401, ""first_x"": 551.5, ""sample_1_y"": 467, ""sample_0_y"": 401, ""sample_2_x"": 445.5, ""sample_0_time"": 9, ""sample_4_x"": 396.5, ""sample_3_x"": 419.5, ""last_time"": 1142, ""sample_3_y"": 536, ""first_time"": 9, ""sample_2_y"": 507, ""sample_1_x"": 485.5, ""last_y"": 565, ""last_x"": 396.5, ""sample_1_time"": 292, ""sample_4_y"": 565, ""sample_3_time"": 859, ""count"": 137, ""sample_0_x"": 551.5, ""sample_2_time"": 575, ""sample_4_time"": 1142}","Q4 (270-360<U+00B0>)","Q3 (180-270<U+00B0>)",FALSE,TRUE,"Formant",225,1.4857246,1.4857246,88.5142754,88.5142754,FALSE,"5-10","1","2","righth","5-10 yrs","Weekly Practice 1-4 hrs","Bilingual","righth"
